Name,Age,Gender,Voice,Rating,Walking Behaviour,Tipping,Is Happy
Hazel Mckee,31,Female,Raised,Bad,Rushed,None,No
Tristen Moody,20,Male,Raised,Bad,Rushed,None,No
Abbie Archer,25,Female,Raised,Good,Normal,Much,Yes
Roman Case,31,Female,Raised,Bad,Rushed,None,No
Skye Nicholson,43,Female,Normal,Good,Rushed,Little,No
Julissa Frazier,27,Female,Normal,Good,Slow,Much,Yes
Taylor Lang,43,Female,Raised,Good,Rushed,Normal,Yes
Marques Blackburn,44,Male,Normal,Good,Normal,Much,Yes
Callum Stanton,34,Male,Normal,Normal,Slow,Much,Yes
Miriam Jacobson,33,Female,Raised,Good,Normal,Much,Yes
Davis Walters,19,Male,Raised,Bad,Rushed,None,No
Phillip Ross,21,Female,Normal,Normal,Rushed,None,No
Bernard Nolan,48,Female,Normal,Good,Normal,Much,Yes
Mollie Mullen,27,Female,Raised,Bad,Slow,Much,No
Jerry Sawyer,28,Female,Normal,Good,Normal,Much,Yes
Kaiya Villa,27,Female,Normal,Good,Normal,None,No
Thaddeus Kaiser,20,Male,Raised,Good,Rushed,None,No
Ronin Orozco,32,Male,Normal,Good,Normal,Much,Yes
Ayden Wells,28,Female,Normal,Bad,Normal,None,No
Ayden Schmidt,32,Male,Normal,Bad,Rushed,Much,Yes
Dangelo Barajas,30,Female,Raised,Good,Rushed,None,No
Marely Hardin,44,Female,Normal,Good,Normal,Much,Yes
Addison Mercer,31,Female,Raised,Bad,Rushed,None,No
Elyse Montoya,23,Male,Normal,Good,Rushed,None,No
Jackson Brown,33,Female,Normal,Good,Normal,Much,Yes
Azul Klein,35,Female,Normal,Bad,Rushed,None,No
Sean Todd,40,Female,Normal,Normal,Normal,Much,Yes
Rey Howe,45,Male,Raised,Good,Normal,Much,Yes
Delilah Hanna,45,Male,Raised,Good,Rushed,Much,Yes
Krish Suarez,29,Female,Raised,Bad,Normal,None,No
Natalia Knox,37,Female,Raised,Bad,Normal,Much,Yes
Tristan Lin,33,Male,Normal,Good,Normal,Much,Yes
Miley Estrada,32,Male,Normal,Good,Normal,Much,Yes
Zain Lee,26,Male,Raised,Bad,Rushed,None,No
Arielle Cummings,41,Male,Raised,Good,Normal,Much,Yes
Dayanara Park,24,Female,Raised,Normal,Rushed,None,No
Shawn Riddle,30,Female,Normal,Good,Slow,Much,Yes
Azaria Griffith,29,Female,Raised,Bad,Rushed,None,No
Moises Weeks,25,Female,Normal,Good,Rushed,Normal,Yes
Harrison Rubio,27,Male,Raised,Bad,Slow,None,No
Damian Hahn,46,Male,Normal,Good,Normal,Much,Yes
Steve Vasquez,25,Male,Normal,Normal,Normal,Much,Yes
Jayla Olsen,31,Male,Normal,Good,Rushed,Much,Yes
Skyler Henson,25,Male,Normal,Good,Normal,Much,Yes
Hayden Collins,41,Male,Raised,Good,Rushed,Much,Yes
Clarissa Sanders,30,Female,Normal,Good,Normal,Much,Yes
Kaydence Hancock,47,Male,Raised,Good,Normal,Normal,Yes
Tess Strong,28,Female,Raised,Good,Normal,Much,Yes
Alyson Cabrera,49,Female,Normal,Normal,Slow,Much,Yes
Juliette Gates,50,Female,Normal,Normal,Normal,Much,Yes
Michael Luna,27,Male,Raised,Bad,Rushed,None,No
Jordan Jackson,45,Male,Raised,Good,Normal,Much,Yes
Evelin Hooper,27,Female,Raised,Bad,Rushed,None,No
Melanie Esparza,21,Male,Raised,Bad,Rushed,Much,No
Kinley Velez,26,Female,Raised,Bad,Slow,Much,No
Madden Wood,29,Male,Raised,Normal,Rushed,None,No
Dahlia Jimenez,23,Male,Raised,Bad,Rushed,None,No
Aryana Holloway,33,Male,Normal,Good,Slow,Much,Yes
Ezra Vega,29,Male,Raised,Bad,Slow,None,No
Donna Luna,48,Male,Raised,Good,Slow,Normal,Yes
Deja Watkins,34,Female,Normal,Normal,Rushed,Much,Yes
Amy Burke,44,Female,Normal,Bad,Rushed,Little,No
Carolyn Stuart,19,Female,Raised,Bad,Rushed,None,No
Kaliyah Pena,18,Male,Raised,Normal,Normal,None,No
Sandra Benton,29,Male,Raised,Good,Normal,Normal,Yes
Ainsley Erickson,39,Male,Normal,Bad,Rushed,Much,Yes
Reece Dickson,19,Female,Raised,Bad,Rushed,None,No
London Knapp,42,Female,Normal,Good,Rushed,Much,Yes
Ahmed Welch,24,Female,Raised,Bad,Normal,Much,No
Makayla Scott,34,Female,Normal,Good,Normal,Normal,Yes
Jaylen Levine,34,Male,Raised,Bad,Normal,Much,Yes
Tabitha Moyer,46,Female,Normal,Good,Rushed,Little,Yes
Shyla Wiggins,35,Male,Normal,Good,Normal,Much,Yes
Steve Estes,49,Male,Normal,Bad,Normal,Much,Yes
Ryder Kennedy,32,Female,Normal,Good,Normal,Much,Yes
Briley Sampson,48,Female,Raised,Bad,Slow,Much,No
Alvin Mayer,25,Male,Raised,Bad,Normal,None,No
Viviana Liu,49,Female,Raised,Bad,Rushed,None,No
Blaze Rojas,39,Female,Normal,Good,Normal,Much,Yes
Maxim Prince,23,Male,Raised,Bad,Rushed,None,No
Desirae Floyd,37,Female,Raised,Bad,Rushed,Much,No
Freddy Bray,32,Female,Raised,Normal,Normal,Much,Yes
Selena Glenn,22,Female,Raised,Bad,Slow,Much,No
Allie Mendoza,34,Male,Normal,Normal,Rushed,Little,No
Roland Dudley,40,Male,Raised,Good,Normal,Little,Yes
Gilberto Alvarez,36,Female,Normal,Normal,Normal,Normal,Yes
Braxton Rosario,29,Female,Normal,Good,Rushed,Much,Yes
Ariana Arroyo,20,Male,Raised,Bad,Rushed,None,No
Pedro Gray,25,Female,Normal,Good,Normal,Much,Yes
Elyse Patterson,36,Female,Raised,Bad,Normal,None,No
Kian Wagner,24,Male,Normal,Bad,Normal,Much,No
Alannah Hess,25,Female,Raised,Bad,Rushed,None,No
Rosa Pittman,45,Male,Normal,Good,Normal,Much,Yes
Harmony Irwin,46,Male,Normal,Bad,Rushed,None,No
Patricia Beck,29,Female,Raised,Bad,Rushed,None,No
Noah Morris,28,Male,Raised,Good,Rushed,None,No
Ana Galvan,34,Female,Raised,Normal,Normal,Normal,Yes
Melanie Ortega,24,Female,Raised,Bad,Rushed,Little,No
Augustus Floyd,36,Female,Normal,Bad,Rushed,None,No
Averi Paul,25,Male,Raised,Bad,Rushed,None,No
Jordan Reeves,43,Male,Normal,Good,Slow,Much,Yes
Theresa Owens,47,Male,Raised,Normal,Normal,Much,Yes
Itzel Harrell,19,Female,Raised,Bad,Rushed,Little,No
Yandel Castro,19,Female,Normal,Good,Normal,Much,Yes
Aubrie Wilkerson,28,Female,Raised,Good,Slow,Normal,Yes
Charles Horne,17,Male,Normal,Bad,Normal,None,No
Bradyn Frank,24,Female,Normal,Good,Normal,Much,Yes
Gabriela Hutchinson,25,Male,Normal,Good,Normal,Much,Yes
Edith Shields,50,Female,Normal,Good,Normal,Much,Yes
Tiffany Mercado,31,Male,Normal,Normal,Rushed,None,No
Liberty Bailey,25,Male,Raised,Good,Normal,Little,Yes
Cali Mcintyre,18,Male,Normal,Normal,Rushed,None,No
Gerald Quinn,25,Male,Normal,Good,Normal,Much,Yes
Callum Hoover,18,Female,Normal,Normal,Rushed,None,No
Amiya Vargas,29,Male,Normal,Normal,Normal,Much,Yes
Kayden Rivers,29,Male,Raised,Bad,Rushed,None,No
Francisco Foley,28,Male,Raised,Good,Slow,None,No
Dana Patrick,25,Male,Raised,Bad,Rushed,Much,No
Jazlyn Bryant,24,Male,Normal,Good,Slow,Much,Yes
Lilia Farrell,19,Male,Raised,Bad,Normal,None,No
Sincere Mcdonald,38,Female,Raised,Good,Normal,Much,Yes
Jayce Rivers,29,Female,Raised,Good,Normal,Much,Yes
Raymond Daniels,29,Male,Raised,Bad,Rushed,None,No
Jaden Roman,24,Male,Normal,Bad,Slow,None,No
Renee Ferguson,36,Male,Raised,Good,Rushed,Much,Yes
Jacoby May,33,Female,Normal,Good,Normal,Much,Yes
Colin Wheeler,46,Female,Normal,Bad,Slow,Much,Yes
Felix Young,31,Female,Normal,Good,Rushed,None,No
Ross Rios,49,Male,Normal,Bad,Rushed,Much,Yes
Ayanna Oneill,32,Male,Normal,Good,Rushed,Much,Yes
Megan Gonzalez,34,Female,Raised,Bad,Rushed,Little,No
Matias Morgan,30,Male,Normal,Normal,Normal,None,No
Diego Hardy,25,Male,Normal,Good,Normal,Little,Yes
Arturo Cooley,34,Male,Normal,Good,Normal,Much,Yes
Matthias Burns,25,Female,Raised,Good,Normal,Much,Yes
Conrad Schroeder,19,Male,Raised,Bad,Rushed,None,No
Todd Conley,30,Male,Normal,Bad,Rushed,Much,Yes
Amiyah Newman,28,Male,Normal,Normal,Normal,Normal,Yes
Jayleen Compton,41,Male,Raised,Normal,Slow,None,No
Kenny Archer,47,Male,Normal,Bad,Normal,Much,Yes
Aniyah Proctor,46,Male,Raised,Good,Normal,Much,Yes
Octavio Long,27,Female,Raised,Bad,Normal,None,No
Noe Cortez,32,Female,Raised,Bad,Normal,Much,Yes
Alia Scott,24,Female,Raised,Bad,Rushed,None,No
Johnathan Church,29,Male,Raised,Bad,Rushed,None,No
King Bishop,23,Male,Raised,Normal,Slow,Much,No
Sonny Robertson,25,Male,Raised,Bad,Rushed,None,No
Gideon Clayton,38,Male,Normal,Good,Normal,Much,Yes
Dario Maldonado,27,Female,Normal,Good,Normal,Much,Yes
Nathalia Welch,31,Male,Raised,Good,Normal,Much,Yes
Payton Conner,33,Male,Raised,Normal,Rushed,None,No
Emmanuel Farley,34,Male,Raised,Good,Rushed,None,No
Giana Schneider,27,Male,Raised,Good,Normal,Much,Yes
Kian Padilla,34,Female,Raised,Good,Normal,Much,Yes
Leandro Spencer,27,Female,Normal,Good,Normal,None,No
Adam Pace,23,Female,Raised,Good,Rushed,None,No
Ximena Love,30,Female,Raised,Bad,Normal,None,No
Preston Ferrell,36,Male,Raised,Bad,Rushed,Little,No
Paulina Swanson,40,Male,Normal,Normal,Normal,Much,Yes
Joel Hayden,26,Male,Normal,Good,Rushed,Much,Yes
Reagan Powell,26,Male,Normal,Bad,Rushed,Little,No
Dean Gould,27,Male,Normal,Bad,Rushed,None,No
Anya Roberson,28,Female,Raised,Bad,Rushed,Much,No
Maliyah Olson,24,Female,Normal,Good,Slow,Little,Yes
Jay Roth,42,Female,Normal,Good,Rushed,Much,Yes
Jaquan Petersen,49,Male,Normal,Good,Normal,Much,Yes
Brisa Guerra,35,Female,Raised,Good,Normal,Much,Yes
Will Hammond,40,Female,Normal,Good,Normal,Much,Yes
Gideon Flynn,18,Male,Raised,Bad,Normal,None,No
Jaida Garner,21,Male,Normal,Normal,Normal,Little,Yes
Kenley Kerr,28,Male,Normal,Good,Slow,Much,Yes
Lilly Leon,48,Female,Normal,Good,Normal,Much,Yes
Shawn Moyer,26,Male,Normal,Good,Normal,Normal,Yes
Sanaa Blake,30,Female,Raised,Good,Rushed,None,No
Ryan Knight,21,Male,Raised,Bad,Rushed,None,No
Hillary Cross,24,Female,Raised,Bad,Rushed,None,No
Destiny Vega,47,Male,Normal,Good,Normal,Much,Yes
Odin Chase,48,Female,Normal,Good,Normal,Much,Yes
Valery Farmer,23,Male,Raised,Bad,Rushed,None,No
Megan Benitez,24,Female,Raised,Bad,Slow,None,No
Randy Cunningham,32,Male,Raised,Bad,Rushed,None,No
Regan Mayo,22,Male,Raised,Normal,Rushed,None,No
Tyrese Weber,22,Female,Raised,Bad,Rushed,None,No
Vanessa Friedman,35,Female,Normal,Good,Normal,Much,Yes
Geovanni Mccall,35,Female,Raised,Bad,Rushed,None,No
Ellis Russell,49,Male,Normal,Good,Rushed,Much,Yes
Bronson Vargas,46,Male,Normal,Good,Normal,Much,Yes
Rocco Singh,32,Female,Normal,Bad,Rushed,None,No
Luciana Nielsen,30,Female,Normal,Good,Normal,Much,No
Jason Patrick,27,Female,Raised,Bad,Rushed,None,No
Emery Odom,26,Female,Normal,Bad,Slow,None,No
Justus Green,44,Female,Normal,Good,Normal,Much,Yes
Antony Osborn,22,Male,Raised,Bad,Rushed,None,No
Pedro Stuart,25,Male,Raised,Normal,Normal,None,No
Draven Reid,35,Female,Normal,Normal,Rushed,Much,Yes
Mathew Schneider,26,Male,Raised,Bad,Rushed,Little,No
Marco Howard,20,Male,Raised,Bad,Rushed,None,No
Augustus Hendricks,36,Male,Raised,Good,Rushed,Little,Yes
Cheyanne Macdonald,35,Female,Raised,Good,Normal,Much,Yes
Ally David,30,Female,Raised,Normal,Normal,None,No
Kevin Reed,40,Male,Normal,Good,Rushed,Normal,Yes
Guadalupe Benson,46,Male,Normal,Good,Normal,Much,Yes
Aidyn Mendoza,34,Male,Normal,Good,Slow,Much,Yes
Brodie Thompson,30,Male,Normal,Normal,Normal,Much,Yes
Anderson Shaw,28,Female,Normal,Good,Normal,Normal,Yes
Alexa Tran,22,Male,Raised,Bad,Rushed,None,No
Kasey Herman,46,Male,Raised,Bad,Rushed,Much,No
Liliana Russo,33,Female,Normal,Good,Normal,Much,Yes
Caroline Stark,33,Female,Raised,Normal,Normal,Little,No
Sebastian Sims,32,Male,Raised,Bad,Rushed,None,No
Alexis Bell,32,Male,Raised,Bad,Rushed,None,No
Madelynn Alvarez,22,Male,Normal,Normal,Rushed,None,No
Reagan Cochran,22,Male,Raised,Bad,Rushed,None,No
Brandon Rosales,19,Male,Raised,Bad,Rushed,None,No
Natalee Hooper,34,Female,Normal,Good,Rushed,None,No
Lizeth Campbell,50,Female,Raised,Good,Normal,Much,Yes
Joel Middleton,24,Female,Normal,Bad,Rushed,None,No
Zaire Krause,42,Male,Normal,Good,Normal,Much,Yes
Keenan Moon,21,Male,Raised,Bad,Rushed,None,No
Ariel Kim,27,Male,Raised,Good,Normal,Much,Yes
Mohammed Cantrell,24,Male,Raised,Good,Normal,None,No
Derick Love,23,Male,Normal,Normal,Normal,Much,Yes
Gordon Stout,34,Male,Raised,Good,Rushed,None,No
Jessie Calhoun,19,Male,Normal,Good,Rushed,None,No
Deanna Huff,30,Female,Raised,Bad,Rushed,None,No
Leon Mcdaniel,42,Male,Normal,Good,Slow,Much,Yes
Romeo Nolan,48,Female,Raised,Good,Normal,Much,Yes
Steven Tyler,25,Male,Normal,Good,Normal,Much,Yes
Byron Holder,46,Female,Raised,Bad,Rushed,Much,Yes
Amya Schmitt,30,Female,Raised,Good,Rushed,Little,Yes
Viviana Chavez,29,Female,Raised,Good,Rushed,Much,Yes
Rene Gaines,35,Male,Raised,Bad,Slow,None,No
Nathalie Buckley,20,Female,Raised,Bad,Slow,None,No
Selina Barron,25,Male,Normal,Good,Normal,Much,Yes
Cheyenne Harper,41,Male,Normal,Good,Normal,Normal,Yes
Stephen Osborne,31,Female,Normal,Bad,Rushed,None,No
Melvin Walter,28,Male,Raised,Bad,Normal,None,No
Owen Oneal,30,Female,Raised,Good,Slow,Much,Yes
Ashanti Shaffer,24,Female,Normal,Good,Rushed,None,No
Camden Fernandez,35,Male,Raised,Bad,Slow,None,No
Eric Cohen,33,Male,Normal,Good,Normal,Much,Yes
Lilianna Curry,27,Female,Normal,Good,Normal,Much,Yes
Beckett Cohen,26,Male,Normal,Good,Normal,Much,Yes
Milo Boyer,44,Female,Normal,Good,Normal,Much,Yes
Damari Davidson,20,Female,Raised,Bad,Rushed,None,No
Armando Adams,40,Male,Raised,Good,Slow,Much,Yes
Arianna Ibarra,36,Male,Raised,Good,Rushed,None,No
Annie Villanueva,32,Female,Normal,Bad,Normal,Much,Yes
Kinsley Garner,36,Female,Raised,Good,Normal,Much,Yes
Quinten Berger,47,Male,Normal,Good,Rushed,Much,Yes
Katherine Novak,20,Male,Raised,Bad,Rushed,None,No
Campbell Barry,29,Female,Raised,Good,Rushed,None,No
Reginald Wall,29,Female,Raised,Bad,Normal,None,No
Shawn Parker,39,Male,Normal,Good,Normal,Much,Yes
Rylan Castillo,44,Male,Normal,Good,Normal,Much,Yes
Maximo Monroe,32,Male,Normal,Good,Normal,Much,Yes
Francesca Andrews,25,Male,Raised,Bad,Rushed,None,No
Kiera Gutierrez,28,Female,Raised,Bad,Rushed,None,No
Cheyenne Navarro,33,Male,Normal,Bad,Normal,Much,Yes
Simon Salas,31,Male,Normal,Good,Normal,Much,Yes
Karsyn Ferguson,23,Male,Raised,Bad,Rushed,None,No
Rodrigo Williamson,46,Female,Normal,Bad,Rushed,Much,Yes
Turner Randall,27,Female,Raised,Bad,Normal,None,No
Marcel Davenport,37,Female,Normal,Bad,Rushed,Much,Yes
Leanna Bauer,24,Female,Raised,Bad,Rushed,None,No
Isla Roth,33,Male,Raised,Bad,Rushed,Much,No
Kyle Reeves,30,Female,Raised,Bad,Rushed,None,No
Jacqueline Knight,21,Male,Raised,Bad,Rushed,None,No
Jaquan Hammond,41,Male,Normal,Normal,Normal,Much,Yes
Bobby Schneider,38,Male,Normal,Bad,Normal,Much,Yes
Johnny Rivera,22,Female,Raised,Good,Normal,Normal,Yes
Bryanna Hanson,35,Male,Raised,Bad,Normal,None,No
Sheldon Ayers,33,Female,Raised,Bad,Rushed,None,No
Frida Blackwell,42,Female,Normal,Good,Normal,Much,Yes
Lexi Shannon,39,Female,Normal,Good,Normal,Much,Yes
Jon Russell,49,Male,Normal,Good,Normal,Much,Yes
Katrina Bowers,33,Female,Normal,Good,Rushed,Much,No
Zoe Mathews,22,Male,Normal,Bad,Normal,Much,Yes
Landin Carney,26,Male,Raised,Bad,Normal,None,No
Jade Melendez,34,Female,Normal,Good,Slow,Much,Yes
Khloe Huffman,19,Female,Raised,Good,Rushed,None,No
Tessa Patterson,36,Female,Normal,Normal,Slow,Much,Yes
Karen Davidson,40,Male,Normal,Good,Slow,Much,Yes
Julianna Edwards,18,Male,Raised,Normal,Rushed,None,No
Krish Wyatt,28,Male,Normal,Normal,Rushed,Much,Yes
Mckayla Horton,17,Female,Normal,Bad,Rushed,Little,No
Stanley Wolf,46,Female,Raised,Good,Rushed,None,No
Rishi Pace,26,Female,Raised,Bad,Normal,Little,No
Kasey Pittman,33,Male,Raised,Good,Normal,Much,Yes
Summer Frey,50,Male,Normal,Bad,Normal,Much,Yes
Dulce Taylor,25,Female,Raised,Bad,Rushed,None,No
Lia Zavala,23,Male,Raised,Bad,Slow,None,No
Amaris Lopez,26,Male,Raised,Good,Normal,None,No
Scarlett Bird,31,Female,Normal,Good,Normal,Much,Yes
Tamia Oconnor,25,Female,Raised,Bad,Normal,Much,Yes
Daisy Hooper,21,Male,Raised,Bad,Rushed,None,No
Lizeth Mcclure,43,Male,Normal,Bad,Normal,None,No
Nathanael Wu,17,Male,Raised,Bad,Rushed,None,No
Riley Horton,50,Male,Normal,Good,Normal,Much,Yes
Lara Holloway,31,Male,Normal,Normal,Rushed,Little,Yes
Ronan Hobbs,30,Male,Normal,Bad,Slow,None,No
Teagan Hanna,38,Female,Raised,Good,Normal,Much,Yes
Chaim Molina,31,Male,Normal,Good,Normal,Much,Yes
Daniel Johnson,46,Male,Normal,Normal,Normal,Much,Yes
Cassandra Estrada,28,Female,Normal,Good,Rushed,None,No
Draven Francis,36,Male,Normal,Good,Normal,Much,Yes
Raina Bates,37,Female,Normal,Good,Normal,Much,Yes
Remington Colon,50,Male,Normal,Bad,Normal,Much,Yes
Hugo Hanson,33,Male,Normal,Normal,Normal,Much,Yes
Arely Tate,36,Male,Raised,Good,Normal,Much,Yes
Akira Mason,34,Female,Normal,Bad,Slow,None,No
Quinn Black,34,Male,Normal,Bad,Normal,Normal,Yes
Arturo Rios,42,Male,Normal,Normal,Normal,Much,Yes
Dania Hampton,49,Female,Normal,Normal,Normal,Much,Yes
Olive Velez,26,Female,Raised,Bad,Normal,Much,No
Annabelle Trevino,26,Male,Raised,Good,Normal,Much,Yes
Beckham Haley,46,Female,Normal,Bad,Normal,Little,Yes
Fiona Shepard,32,Male,Raised,Bad,Slow,None,No
Hadley Barajas,48,Male,Normal,Normal,Rushed,Normal,Yes
Cora Newman,33,Female,Raised,Good,Slow,Normal,Yes
Kendrick Wise,48,Male,Normal,Bad,Normal,Much,Yes
Jaylee Paul,24,Female,Normal,Normal,Rushed,None,No
Charity Johns,32,Female,Raised,Bad,Normal,Much,Yes
Leonidas Shannon,37,Female,Normal,Normal,Normal,Little,Yes
Abril Hunt,30,Female,Raised,Bad,Rushed,Little,No
Alanna Olson,27,Male,Normal,Normal,Normal,None,No
Savanah Solomon,25,Male,Raised,Normal,Slow,None,No
Elena Villegas,35,Female,Raised,Bad,Rushed,Much,No
Martha Mills,32,Male,Normal,Good,Normal,Much,Yes
Aileen Villanueva,32,Female,Normal,Bad,Normal,Little,No
Jesus Hull,48,Male,Raised,Bad,Rushed,None,No
Talan Cabrera,45,Male,Normal,Bad,Rushed,Much,Yes
Reilly Mercer,37,Female,Normal,Bad,Normal,Much,Yes
Micaela Beltran,38,Male,Normal,Bad,Normal,Much,Yes
Justus Phelps,28,Male,Normal,Bad,Slow,None,No
Kasey Benson,28,Female,Raised,Good,Rushed,Much,Yes
Esteban Weiss,20,Male,Raised,Bad,Rushed,None,No
April Pearson,41,Male,Raised,Bad,Rushed,None,No
Sidney Chung,48,Male,Raised,Good,Rushed,None,No
Zara Chandler,35,Male,Raised,Good,Normal,Much,Yes
Lea Fry,32,Female,Raised,Good,Rushed,None,No
Helena Simpson,19,Male,Normal,Normal,Rushed,Little,No
Braiden Washington,23,Male,Raised,Bad,Rushed,Little,No
Triston Bridges,29,Male,Normal,Bad,Rushed,None,No
Dayton Hart,25,Male,Raised,Bad,Rushed,None,No
Carmen Lambert,43,Female,Raised,Good,Slow,Much,Yes
Gisselle Mayer,29,Male,Normal,Bad,Rushed,None,No
Reese Schwartz,29,Female,Raised,Normal,Slow,Little,No
Josue Melendez,30,Female,Raised,Bad,Normal,None,No
Paloma Cowan,32,Female,Raised,Good,Slow,Much,Yes
Zaiden Chavez,26,Female,Raised,Good,Slow,Little,Yes
Christina Wolf,35,Male,Raised,Bad,Rushed,Much,No
Marc Glass,32,Male,Raised,Bad,Rushed,None,No
Ignacio Riddle,29,Female,Raised,Bad,Rushed,None,No
Livia Mcclure,25,Male,Raised,Normal,Rushed,None,No
Nathalie Burton,44,Male,Normal,Bad,Normal,Little,Yes
Brylee Odonnell,30,Female,Raised,Normal,Rushed,None,No
Keyon Fuller,33,Male,Normal,Bad,Rushed,None,No
Alison Hogan,28,Female,Raised,Good,Normal,Normal,Yes
Isiah Ball,30,Male,Normal,Good,Normal,Much,Yes
Cody Steele,19,Female,Raised,Bad,Normal,None,No
Reed Padilla,47,Male,Raised,Good,Normal,Normal,Yes
Triston Mcbride,26,Male,Normal,Good,Normal,Little,Yes
Chad Glover,31,Male,Raised,Bad,Rushed,None,No
Cameron Turner,32,Female,Raised,Bad,Rushed,None,No
Uriah Hudson,31,Male,Normal,Good,Normal,Much,Yes
Gavyn Grant,19,Female,Raised,Good,Rushed,Little,No
Alanna Nunez,27,Male,Raised,Bad,Rushed,None,No
Trent Jacobson,26,Female,Normal,Good,Normal,Much,Yes
Johanna Mason,27,Female,Normal,Bad,Normal,Much,Yes
Baron Kelley,39,Female,Normal,Good,Normal,Little,Yes
Jaliyah Stafford,49,Female,Normal,Bad,Normal,Normal,Yes
Finley Cohen,35,Male,Normal,Good,Normal,Much,Yes
Jenna Herrera,48,Female,Raised,Good,Normal,Much,Yes
Steve Watts,20,Female,Raised,Normal,Rushed,None,No
Giselle Brandt,38,Male,Raised,Bad,Normal,Much,No
Amy Mooney,23,Female,Raised,Bad,Slow,Little,No
Charlee Swanson,29,Male,Raised,Bad,Rushed,None,No
Maxim Mcdonald,25,Female,Raised,Bad,Normal,None,No
Aden Brewer,27,Male,Raised,Bad,Rushed,None,No
Octavio Norton,35,Male,Normal,Bad,Normal,Much,Yes
Karter Keller,31,Male,Normal,Bad,Slow,None,No
Harper Wilkinson,29,Female,Normal,Normal,Rushed,Much,No
Cedric Lopez,34,Female,Raised,Normal,Normal,Much,Yes
Yair Landry,31,Male,Raised,Normal,Rushed,None,No
Damien Galvan,41,Female,Normal,Good,Slow,Much,Yes
Alfred Wolfe,31,Female,Raised,Bad,Rushed,None,No
Angel Sloan,30,Male,Raised,Bad,Rushed,None,No
Armando York,49,Female,Normal,Good,Slow,Much,Yes
Kendra Kirk,49,Male,Normal,Good,Slow,Normal,Yes
Zoey Roberson,41,Female,Normal,Good,Normal,Normal,Yes
Giancarlo Kerr,26,Female,Raised,Good,Normal,Much,Yes
Noemi Gallagher,28,Female,Normal,Good,Slow,Much,Yes
Mark Huerta,26,Female,Raised,Bad,Rushed,None,No
Lane Ritter,46,Male,Raised,Good,Normal,Much,Yes
Kristopher Bright,17,Female,Normal,Good,Normal,Much,Yes
Tyshawn Raymond,45,Female,Normal,Good,Rushed,Normal,Yes
Maxwell Kelley,42,Female,Normal,Normal,Normal,Normal,Yes
Carson Marquez,27,Female,Raised,Bad,Rushed,None,No
Shaniya Page,48,Male,Normal,Good,Normal,Much,Yes
Ansley Curtis,25,Female,Raised,Bad,Rushed,None,No
Kaydence Williamson,32,Female,Normal,Normal,Normal,Much,Yes
Mayra Singleton,40,Female,Raised,Normal,Normal,Much,Yes
Rafael Nichols,31,Female,Normal,Good,Normal,Much,Yes
Jacoby Oneal,38,Male,Normal,Good,Normal,Much,Yes
Allan Parker,28,Female,Normal,Good,Rushed,None,No
Athena Vaughan,32,Female,Raised,Bad,Rushed,Much,No
Addison Mcclure,48,Female,Raised,Bad,Rushed,None,No
Isabell Holder,29,Female,Normal,Bad,Normal,Normal,Yes
Talan Ellison,40,Male,Normal,Good,Rushed,Little,Yes
Kellen Mccoy,39,Female,Normal,Good,Rushed,Much,Yes
Ainsley Everett,43,Male,Normal,Bad,Normal,Much,Yes
Ellie Mckinney,37,Female,Raised,Good,Normal,Normal,Yes
Frances Mendoza,34,Female,Normal,Good,Normal,Much,Yes
Cristal Montoya,32,Male,Raised,Normal,Normal,Much,Yes
Eden Foley,30,Female,Normal,Good,Normal,Little,Yes
Dylan Shannon,29,Female,Raised,Good,Normal,Much,Yes
Haleigh Gates,30,Male,Raised,Good,Rushed,Little,No
Neveah Bush,23,Male,Raised,Bad,Rushed,Little,No
Eugene Zhang,48,Male,Raised,Bad,Normal,Little,Yes
Savanna Hernandez,27,Female,Raised,Bad,Slow,None,No
Iliana Dougherty,35,Male,Raised,Good,Rushed,None,No
Kameron Horton,21,Female,Normal,Bad,Normal,Much,Yes
Walter Kidd,49,Female,Raised,Good,Slow,Little,Yes
Jaylin Sellers,18,Male,Raised,Bad,Rushed,None,No
Guillermo Li,38,Male,Normal,Good,Normal,Much,Yes
Reagan Le,25,Male,Raised,Good,Normal,Much,Yes
Julien Randall,24,Female,Normal,Good,Slow,Much,Yes
Ashtyn Fischer,35,Female,Normal,Good,Normal,Much,Yes
Deshawn Clayton,20,Male,Normal,Bad,Rushed,Much,No
Beckham Burgess,42,Female,Raised,Good,Slow,Much,No
Adelaide Rivera,27,Female,Normal,Bad,Rushed,Little,Yes
Halle Spencer,43,Male,Raised,Bad,Rushed,None,No
Antwan Cohen,35,Male,Raised,Normal,Normal,Little,No
Gia Branch,27,Male,Normal,Good,Normal,Little,Yes
Fernando Zamora,31,Female,Normal,Bad,Rushed,Much,No
Jaylah Ayers,24,Male,Normal,Bad,Slow,None,No
Branson Day,32,Male,Normal,Good,Normal,Much,Yes
Leonidas Yates,45,Male,Normal,Normal,Normal,Much,Yes
German Moody,49,Female,Normal,Good,Normal,Much,Yes
Karly Mckay,37,Male,Normal,Good,Slow,Much,Yes
Giancarlo Rios,17,Female,Raised,Bad,Rushed,None,No
Aileen Maxwell,44,Female,Normal,Good,Normal,Much,Yes
Keyon Bautista,27,Male,Normal,Good,Normal,Much,Yes
Amari Pham,37,Male,Normal,Good,Normal,Much,Yes
Mikayla Lang,27,Male,Normal,Normal,Normal,Much,Yes
